,date,Open,High,Low,Last,Close,Volume,BidVolume,AskVolume,returns,scaled_returns,OHLCAvg,rv5_1,rv5_5,rv5_21,hp,hp_signal,10_range,10_high_x,10_low_x,momentum_8,momentum_12,kama_5_x,kama_20_x,VSA,HAR_preds,ann_vol,target_returns
2395,2015-12-03,1527.4,1538.7,1519.6,1536.6,1536.6,162748,80791,81957,0.0060052399792507,0.0108659067002898,1530.5749999999998,0.0119712329743439,0.0033013534425343,0.0012119858325378,1.0851549408028485,-1.0,0.7897979033826811,0.0150856505545085,-0.0078018400890643,-0.0048042681511875,-0.0090697693513241,-0.0026012546113422,-0.0042782756370916,-0.0738636179492746,0.0121641380283718,0.0829002145641079,-0.0094129496333279
2396,2015-12-04,1536.6,1562.5,1531.4,1560.0,1560.0,195444,98271,97173,0.0151136378100487,0.0211209427168217,1547.625,0.0162629934225444,0.0044738717419061,0.0013759921968654,1.1952907002948605,-1.0,1.3177088919875588,0.0093450278518477,0.0029055968951123,0.0095971880872109,0.0071408196898694,0.0108898503620586,0.0107293552776792,0.3460307091505856,0.0139304856097016,0.1073363865383586,0.100813604821684
2397,2015-12-05,1536.6,1562.5,1531.4,1560.0,1560.0,0,0,0,0.0,0.0,1547.625,,,,1.2840121777885347,-1.0,1.3078888534014703,0.0093498295405226,0.0029070898571372,0.0192220266465925,0.0108276386520635,0.0098449264488019,0.0106738030166972,0.922169484590413,,0.1026091418324097,0.2080073869877529
2398,2015-12-06,1559.6,1559.9,1556.3,1556.9,1556.9,2283,1282,1001,-0.0019891565479541,-0.0030210089539957,1558.175,,,,1.186138107736884,-1.0,0.4161073825503389,0.0027199710109338,0.0011791781839308,0.0172328700986383,0.0051516631419152,0.0074911315388111,0.0086719494597744,-0.6009003276265484,,0.0987661694277592,0.1337602275024618
2399,2015-12-07,1556.8,1560.3,1539.2,1544.6,1544.6,100256,51117,49139,-0.0079316875604655,-0.0116911970710376,1550.225,0.0171840175506907,0.0043571313186689,0.0014233007434106,1.2129517664487828,-1.0,0.4163735209465974,0.0077246601778822,-0.0038229988253062,0.0092358380091202,0.0003885255504414,-0.0003806174095581,0.0007737028249917,0.007765913563432,0.0144671068269689,0.101764868630706,-0.0970059216370494
2400,2015-12-08,1544.5,1552.6,1541.0,1549.6,1549.6,117603,59955,57648,0.0032318559576225,0.0049164093550994,1546.925,0.0085648444520414,0.0042978682820588,0.0013490484092487,1.1751783708879875,-1.0,0.4167733674775962,0.0098082482347202,-0.005903841232777,0.0076440094947054,0.0029081999364137,0.0026825819136099,0.0039701096688413,-0.5821014976328085,0.011212498835627,0.0986041557220125,-0.0676104026027214
2401,2015-12-09,1549.6,1559.2,1542.9,1545.9,1545.9,134484,67197,67287,-0.0023905680904974,-0.0037810189158481,1549.4,0.0040199140197428,0.0042650232676251,0.0013513461077838,1.1719912313907594,-1.0,0.4195038126946655,0.0082556500636703,-0.0043483958350629,0.0016832840955025,0.0101424704052979,0.0002446229142822,0.0015683536345125,-0.2678534178865257,0.0093423167998287,0.094838249042237,-0.0744986562469284
2402,2015-12-10,1546.0,1550.2,1543.0,1545.6,1545.6,93220,47432,45788,-0.000194080544035,-0.0003212499997908,1546.2,0.0023984334580883,0.0037285425698228,0.0013490585903832,1.1096710703545554,-1.0,0.4222702702702736,0.0102793513067658,-0.0063694139998978,0.0118452410039697,0.0099483898612628,4.172315503245692e-05,0.0013644158892051,-0.5743284014933909,0.0086177815978185,0.0906212657562934,0.0071442039739485
2403,2015-12-11,1545.6,1553.3,1535.9,1547.9,1547.9,145142,73146,71996,0.0014869891215782,0.0025653144154214,1545.6750000000002,0.0014996012487541,0.0035423098216493,0.0013471622267605,1.121932942038433,-1.0,0.427726675427073,0.0106191086350415,-0.006705974992411,0.0073269901462973,0.0113700344537885,0.0013975406195863,0.0028326721583811,-0.1005486349273547,0.0080933976421664,0.0869477701820424,-0.0126174288634888
2404,2015-12-12,1545.6,1553.3,1535.9,1547.9,1547.9,0,0,0,0.0,0.0,1545.6750000000002,,,,1.1320339582561667,-1.0,0.4333259374306668,0.010627796755638,-0.0067114615470224,-0.0077866476637513,0.0065463499817512,0.0013186460490213,0.0028204673592946,0.2299049113419051,,0.0830822963165056,0.0155718462478854
